osmid,y,x,street_count,highway,ref,geometry
5332962666,32.2748246,34.8405525,3,,,POINT (34.8405525 32.2748246)
5332962669,32.277863,34.84936,3,,,POINT (34.84936 32.277863)
5332962671,32.2756065,34.8443762,3,,,POINT (34.8443762 32.2756065)
5332962677,32.2823527,34.8433913,3,,,POINT (34.8433913 32.2823527)
5332962680,32.2772685,34.8466287,3,,,POINT (34.8466287 32.2772685)
5332962682,32.2804438,34.8443781,3,,,POINT (34.8443781 32.2804438)
5332962683,32.2787623,34.8455254,3,,,POINT (34.8455254 32.2787623)
5332962689,32.2756831,34.8445776,3,,,POINT (34.8445776 32.2756831)
5332962692,32.2767101,34.8470223,4,traffic_signals,,POINT (34.8470223 32.2767101)
5332962696,32.2765756,34.8472216,3,,,POINT (34.8472216 32.2765756)
5332962699,32.2780179,34.8493607,3,,,POINT (34.8493607 32.2780179)
5332962706,32.2754042,34.8444939,3,,,POINT (34.8444939 32.2754042)
5332962712,32.2828084,34.8430834,4,traffic_signals,,POINT (34.8430834 32.2828084)
5332962714,32.2787109,34.8457895,3,,,POINT (34.8457895 32.2787109)
5332963123,32.2750596,34.8432556,3,,,POINT (34.8432556 32.2750596)
5332963131,32.276827,34.8469424,4,traffic_signals,,POINT (34.8469424 32.276827)
5332963139,32.281628,34.8436257,3,,,POINT (34.8436257 32.281628)
5332963141,32.2746197,34.8419754,3,,,POINT (34.8419754 32.2746197)
5332963152,32.280599,34.8442974,3,,,POINT (34.8442974 32.280599)
5332963153,32.2768662,34.8470236,4,traffic_signals,,POINT (34.8470236 32.2768662)
5332963160,32.2755235,34.8446984,3,,,POINT (34.8446984 32.2755235)
5332963164,32.280668,34.8444522,3,,,POINT (34.8444522 32.280668)
5332963173,32.2805081,34.8445511,3,,,POINT (34.8445511 32.2805081)
5332963176,32.2771346,34.8468405,3,,,POINT (34.8468405 32.2771346)
5332963178,32.2805595,34.8442868,3,,,POINT (34.8442868 32.2805595)
5332963179,32.277044,34.8473844,3,,,POINT (34.8473844 32.277044)
5332963180,32.2765619,34.8471234,3,,,POINT (34.8471234 32.2765619)
5332963187,32.2826322,34.8427025,3,,,POINT (34.8427025 32.2826322)
5332963191,32.2804381,34.8444049,3,,,POINT (34.8444049 32.2804381)
5332963197,32.275456,34.8446607,3,,,POINT (34.8446607 32.275456)
5332963198,32.2788708,34.8456908,3,,,POINT (34.8456908 32.2788708)
5332963203,32.2786461,34.84562,3,,,POINT (34.84562 32.2786461)
5332963208,32.2768535,34.8473113,3,,,POINT (34.8473113 32.2768535)
5332963210,32.28277,34.8429909,4,traffic_signals,,POINT (34.8429909 32.28277)
5332963213,32.27837,34.8494143,3,,,POINT (34.8494143 32.27837)
5332963327,32.2766111,34.8468213,3,,,POINT (34.8468213 32.2766111)
5332963330,32.2819204,34.8434458,3,,,POINT (34.8434458 32.2819204)
5332963332,32.282467,34.8431486,3,,,POINT (34.8431486 32.282467)
5332963340,32.274418,34.8422044,3,,,POINT (34.8422044 32.274418)
5332963362,32.2754232,34.8444392,3,,,POINT (34.8444392 32.2754232)
5332963367,32.2746477,34.8423723,3,,,POINT (34.8423723 32.2746477)
5332963373,32.2766635,34.8466109,3,,,POINT (34.8466109 32.2766635)
5332990664,32.2757003,34.8394005,3,,,POINT (34.8394005 32.2757003)
5332990665,32.2755776,34.839497,3,,,POINT (34.839497 32.2755776)
5332990675,32.2799404,34.8371198,3,,,POINT (34.8371198 32.2799404)
5332990687,32.2785953,34.8375708,3,,,POINT (34.8375708 32.2785953)
5332990688,32.2756545,34.8396597,3,,,POINT (34.8396597 32.2756545)
5332990691,32.2756791,34.8396647,3,,,POINT (34.8396647 32.2756791)
5332990720,32.2757962,34.8395562,3,,,POINT (34.8395562 32.2757962)
5332991322,32.2798999,34.8369263,3,,,POINT (34.8369263 32.2798999)
5332991326,32.2757824,34.8395998,3,,,POINT (34.8395998 32.2757824)
5332991329,32.2794215,34.8369727,3,,,POINT (34.8369727 32.2794215)
5332991354,32.2799054,34.8370852,3,,,POINT (34.8370852 32.2799054)
5332991360,32.2800846,34.837083,3,,,POINT (34.837083 32.2800846)
5332991366,32.2773517,34.8382054,3,,,POINT (34.8382054 32.2773517)
5332991371,32.2774536,34.8381431,3,,,POINT (34.8381431 32.2774536)
5332991376,32.2774045,34.8384003,3,,,POINT (34.8384003 32.2774045)
5332991377,32.277558,34.8383042,3,,,POINT (34.8383042 32.277558)
5333038441,32.2767285,34.8420125,3,,,POINT (34.8420125 32.2767285)
5333038446,32.2766001,34.8422694,3,,,POINT (34.8422694 32.2766001)
5333038447,32.2788646,34.8407808,3,,,POINT (34.8407808 32.2788646)
5333038458,32.2775523,34.8383265,3,,,POINT (34.8383265 32.2775523)
5333038463,32.2758267,34.8398543,3,,,POINT (34.8398543 32.2758267)
5333038479,32.2787051,34.8407262,3,,,POINT (34.8407262 32.2787051)
5333038487,32.2819193,34.8410324,3,,,POINT (34.8410324 32.2819193)
5333038496,32.2768386,34.8421137,3,,,POINT (34.8421137 32.2768386)
5333038501,32.2786572,34.8455916,3,,,POINT (34.8455916 32.2786572)
5333038506,32.278829,34.8376352,3,,,POINT (34.8376352 32.278829)
5333038513,32.2809112,34.8392835,3,,,POINT (34.8392835 32.2809112)
5333038632,32.2792022,34.8405224,3,,,POINT (34.8405224 32.2792022)
5333038634,32.2774327,34.8384092,3,,,POINT (34.8384092 32.2774327)
5333038643,32.2818339,34.8411213,3,,,POINT (34.8411213 32.2818339)
5333038647,32.278802,34.8405719,3,,,POINT (34.8405719 32.278802)
5333038655,32.2785502,34.845271,3,,,POINT (34.845271 32.2785502)
5333038663,32.2809358,34.839032,3,,,POINT (34.839032 32.2809358)
5333038671,32.2788347,34.8405791,3,,,POINT (34.8405791 32.2788347)
5333038675,32.276698,34.8416341,3,,,POINT (34.8416341 32.276698)
5333038681,32.2779284,34.8443954,3,,,POINT (34.8443954 32.2779284)
5333038684,32.2808183,34.8391426,3,,,POINT (34.8391426 32.2808183)
5333038696,32.2779414,34.8441992,3,,,POINT (34.8441992 32.2779414)
5333038707,32.2779589,34.8444128,3,,,POINT (34.8444128 32.2779589)
5333038710,32.2761665,34.8456037,3,,,POINT (34.8456037 32.2761665)
5333038730,32.2788742,34.8373838,3,,,POINT (34.8373838 32.2788742)
5333038736,32.2776071,34.8386,3,,,POINT (34.8386 32.2776071)
5333038739,32.2835204,34.8446447,3,,,POINT (34.8446447 32.2835204)
5333038742,32.2820233,34.8412345,3,,,POINT (34.8412345 32.2820233)
5333038743,32.2760271,34.8453209,3,,,POINT (34.8453209 32.2760271)
5333038744,32.276745,34.8419412,3,,,POINT (34.8419412 32.276745)
5333038745,32.2810287,34.8391924,3,,,POINT (34.8391924 32.2810287)
5333038746,32.2752742,34.8432,3,,,POINT (34.8432 32.2752742)
5333038759,32.2819216,34.8412861,3,,,POINT (34.8412861 32.2819216)
5333038763,32.2768773,34.8419193,3,,,POINT (34.8419193 32.2768773)
5333040813,32.2800089,34.8430383,3,,,POINT (34.8430383 32.2800089)
5333040820,32.2803807,34.8440844,3,,,POINT (34.8440844 32.2803807)
5333041635,32.2800632,34.8434666,3,,,POINT (34.8434666 32.2800632)
5333041642,32.2800213,34.8429693,3,,,POINT (34.8429693 32.2800213)
5333041647,32.2798854,34.8428936,3,,,POINT (34.8428936 32.2798854)
5333041650,32.2798697,34.8430581,3,,,POINT (34.8430581 32.2798697)
5333041659,32.2816598,34.8432649,3,,,POINT (34.8432649 32.2816598)
5333268269,32.279198,34.8367741,2,,,POINT (34.8367741 32.279198)
6859136985,32.2689651,34.8428727,3,,,POINT (34.8428727 32.2689651)
6859137006,32.2708703,34.8476259,1,,,POINT (34.8476259 32.2708703)
7353528232,32.2775539,34.8522163,1,,,POINT (34.8522163 32.2775539)
